page,label_object,en,vn,,,
create_kitchen,create_kitchen_fri_label,,Thứ 6,,,
create_kitchen,create_kitchen_sat_label,,Thứ 7,,,
create_kitchen,create_kitchen_sun_label,,CN,,,
create_kitchen,create_kitchen_add_hour_button,,Thêm giờ,,,
create_kitchen,create_kitchen_internal_note_label,,Ghi chú nội bộ,,,
create_kitchen,create_kitchen_save_button,,LƯU,,,
create_kitchen,create_kitchen_error_fooder_id_null,,FOODER ID không được bỏ trống.,,,
create_kitchen,create_kitchen_error_fooder_id_less_than_4_char,,FOODER ID phải ít nhất 4 ký tự.,,,
create_kitchen,create_kitchen_error_fooder_id_more_than_6_char,,FOODER ID không nhiều hơn 6 ký tự.,,,
create_kitchen,create_kitchen_error_fooder_id_dupicate,,FOODER ID không được trùng.,,,
create_kitchen,create_kitchen_error_kichen_alias_null,,Tên NH/Bếp đối tác không được bỏ trống.,,,
create_kitchen,create_kitchen_error_kichen_alias_less_than_2_char,,Tên NH/Bếp đối tác phải ít nhất 2 ký tự.,,,
create_kitchen,create_kitchen_error_kichen_alias_more_than_200_char,,Tên NH/Bếp đối tác không nhiều hơn 200 ký tự.,,,
create_kitchen,create_kitchen_error_contact_name_null,,Tên người Liên hệ không được bỏ trống.,,,
create_kitchen,create_kitchen_error_contact_name_less_than_2_char,,Tên người Liên hệ phải ít nhất 2 ký tự.,,,
create_kitchen,create_kitchen_error_contact_name_more_than_200_char,,Tên người Liên hệ không nhiều hơn 200 ký tự.,,,
create_kitchen,create_kitchen_error_hotline_null,,Điện thoại Nhà hàng không được bỏ trống.,,,
create_kitchen,create_kitchen_error_hotline_invalid,,Điện thoại Nhà hàng không hợp lệ. Vui lòng thử lại.,,,
create_kitchen,create_kitchen_error_address_null,,Địa chỉ Nhà hàng không được bỏ trống.,,,
create_kitchen,create_kitchen_error_address_less_than_2_char,,Địa chỉ Nhà hàng phải ít nhất 2 ký tự.,,,
create_kitchen,create_kitchen_error_address_more_than_200_char,,Địa chỉ Nhà hàng không nhiều hơn 200 ký tự.,,,
create_kitchen,create_kitchen_error_select_brand,,Vui lòng chọn Thương hiệu.,,,
create_kitchen,create_kitchen_error_kitchen_name_null,,TÊN QUÁN TRÊN APP không được bỏ trống.,,,
create_kitchen,create_kitchen_error_kitchen_name_less_than_2_char,,TÊN QUÁN TRÊN APP phải ít nhất 2 ký tự.,,,
create_kitchen,create_kitchen_error_kitchen_name_more_than_200_char,,TÊN QUÁN TRÊN APP không nhiều hơn 200 ký tự.,,,
create_kitchen,create_kitchen_error_kitchen_login_phone_null,,SỐ ĐT ĐĂNG KÍ APP không được bỏ trống.,,,
create_kitchen,create_kitchen_error_kitchen_login_phone_invalid,,SỐ ĐT ĐĂNG KÍ APP không hợp lệ. Vui lòng thử lại.,,,
create_kitchen,create_kitchen_error_kitchen_extra_email_null,,EMAIL ĐĂNG NHẬP (Nhận các thông báo của Grab) không được bỏ trống.,,,
create_kitchen,create_kitchen_error_kitchen_extra_email_invalid,,EMAIL ĐĂNG NHẬP (Nhận các thông báo của Grab) không hợp lệ. Vui lòng thử lại.,,,
create_kitchen,create_kitchen_error_kitchen_main_email_null,,EMAIL CHÍNH (Nhận HĐ điện tử + Báo cáo doanh thu) không được bỏ trống.,,,
create_kitchen,create_kitchen_error_kitchen_main_email_invalid,,EMAIL CHÍNH (Nhận HĐ điện tử + Báo cáo doanh thu) không hợp lệ. Vui lòng thử lại.,,,
create_kitchen,create_kitchen_error_service_fee_null,,% Phí dịch vụ của bếp đối tác không được bỏ trống.,,,
create_kitchen,create_kitchen_error_service_fee_invalid,,% Phí dịch vụ của bếp đối tác không hợp lệ. Vui lòng thử lại.,,,
create_kitchen,create_kitchen_error_service_fee_less_than_0_percent,,% Phí dịch vụ của bếp đối tác phải lớn hơn hoặc bằng 0%.,,,
create_kitchen,create_kitchen_error_service_fee_null_more_than_100_percent,,% Phí dịch vụ của bếp đối tác phải nhỏ hơn hoặc bằng 100%.,,,
create_kitchen,create_kitchen_error_ingredient_fee_percentage_null,,% Phí nguyên liệu của bếp đối tác không được bỏ trống.,,,
create_kitchen,create_kitchen_error_ingredient_fee_percentage_invalid,,% Phí nguyên liệu của bếp đối tác không hợp lệ. Vui lòng thử lại.,,,
create_kitchen,create_kitchen_error_ingredient_fee_percentage_less_than_0_percent,,% Phí nguyên liệu của bếp đối tác phải lớn hơn hoặc bằng 0%.,,,
create_kitchen,create_kitchen_error_ingredient_fee_percentage_more_than_100_percent,,% Phí nguyên liệu của bếp đối tác phải nhỏ hơn hoặc bằng 100%.,,,
create_kitchen,create_kitchen_error_ingredient_fee_percentage_more_than_100_percent,,% Chiết khấu của Food App không được bỏ trống.,,,
create_kitchen,create_kitchen_error_igrab_app_discount_percentage_null,,% Chiết khấu của Food App không hợp lệ. Vui lòng thử lại.,,,
create_kitchen,create_kitchen_error_igrab_app_discount_percentage_less_than_0_percent,,% Chiết khấu của Food App phải lớn hơn hoặc bằng 0%.,,,
create_kitchen,create_kitchen_error_igrab_app_discount_percentage_less_than_100_percent,,% Chiết khấu của Food App phải nhỏ hơn hoặc bằng 100%.,,,
create_kitchen,create_kitchen_error_opening_hours_dup,,Giờ bắt đầu và kết thúc không được trùng nhau.,,,
create_kitchen,create_kitchen_error_opening_hours_invalid,,Giờ kết thúc phải sau giờ bắt đầu.,,,
create_kitchen,create_kitchen_error_internal_note_more_than_200_char,,Ghi chú nội bộ không nhiều hơn 200 ký tự.,,,
kitchen_list,kitchen_list_breadcrumbs,,Bếp > Bếp Đối Tác,,,
kitchen_list,kitchen_list_create_button_label,,Tạo Bếp Đối Tác,,,
kitchen_list,kitchen_list_fooder_id_label,,FOODER ID,,,
kitchen_list,kitchen_list_kitchen_alias_name_label,,Tên NH/Bếp đối tác,,,
kitchen_list,kitchen_list_contact_name_label,,Tên người Liên hệ,,,
kitchen_list,kitchen_list_hotline_label,,Điện thoại Nhà hàng,,,
kitchen_list,kitchen_list_address_label,,Địa chỉ Nhà hàng,,,
kitchen_list,kitchen_list_brand_label,,Thương hiệu,,,
kitchen_list,kitchen_list_name_label,,TÊN QUÁN TRÊN APP,,,
kitchen_list,kitchen_list_working_status_label,,Trạng thái hoạt động,,,
kitchen_list,kitchen_list_internal_note_label,,Ghi chú nội bộ,,,
kitchen_detail,kitchen_detail_fooder_id_label,,FOODER ID:,,,
kitchen_detail,kitchen_detail_kitchen_alias_name_label,,Tên NH/Bếp đối tác:,,,
kitchen_detail,kitchen_detail_contact_name_label,,Tên người Liên hệ:,,,
kitchen_detail,kitchen_detail_hotline_label,,Điện thoại Nhà hàng:,,,
kitchen_detail,kitchen_detail_address_label,,Địa chỉ Nhà hàng:,,,
kitchen_detail,kitchen_detail_brand_label,,Thương hiệu:,,,
